Name,PACE,DRIBBLING,SHOOTING,DEFENDING,PASSING,PHYSICALITY,Position
Maehle,89,72,56,66,68,78,Defensa
Eder Militao,83,71,50,83,69,82,Defensa
Fikayo Tomori,82,65,37,80,57,79,Defensa
Manuel Lazzari,92,82,62,70,77,65,Defensa
Romero,76,61,46,83,52,84,Defensa
Marcelo Brozovix,69,79,74,79,80,78,Defensa
tomoti,82,65,37,80,57,79,Defensa
mukiele,80,73,49,82,69,80,Defensa
Mario fernandes,82,78,61,79,74,79,Defensa
Kostas Manolas,81,62,25,85,44,81,Defensa
jorge sanchez,92,72,45,72,61,77,Defensa
guimaraes,68,78,63,73,73,75,Defensa
lodi,84,81,67,77,76,75,Defensa
alex sandro,81,79,65,78,77,79,Defensa
montiel,86,74,53,73,70,81,Defensa
elvedi,74,68,39,80,63,77,Defensa
Denzel Dumfries,80,72,61,78,66,19,Defensa
denayer,83,71,43,81,67,81,Defensa
sanchez,75,65,45,80,58,80,Defensa
Nemanja Matic,36,73,67,80,75,73,Defensa
diallo,74,76,39,78,71,77,Defensa
Adams,81,73,48,74,70,75,Defensa
Mario hermoso,75,71,49,83,72,80,Defensa
james,80,77,58,76,77,80,Defensa
gunter,83,70,55,74,70,81,Defensa
Denis Zakaria,83,75,64,80,72,84,Defensa
mbabu,88,73,51,74,69,80,Defensa
nuno mendes,85,74,57,74,68,72,Defensa
Boyata,70,58,29,79,52,83,Defensa
de ligt,73,69,59,84,60,87,Defensa
berchiche,83,76,68,79,76,82,Defensa
Diego Carlos,76,68,47,81,63,83,Defensa
van dijk,78,72,60,91,71,84,Defensa
Akanji,81,74,48,81,67,77,Defensa
clinton mata,82,75,61,76,48,80,Defensa
shaw,79,80,54,81,79,80,Defensa
Ake,76,71,53,80,70,75,defensa
vida,73,60,40,80,58,81,Defensa
pique,58,68,61,85,71,78,Defensa
trippier,73,77,63,80,82,72,Defensa
hamari traore,85,76,54,73,72,77,Defensa
Bonucci,64,72,58,86,69,80,Defensa
Savic,64,58,35,87,57,76,Defensa
lacroix,88,65,33,80,56,77,Defensa
Hassane Kamara,88,76,61,71,69,76,Defensa
roussillon,88,78,65,73,72,73,Defensa
Jules Kounde,81,72,45,84,64,78,Defensa
Milan Skriniar,80,69,41,87,63,84,Defensa
Dayot Upamecano,81,68,43,81,62,81,Defensa
Konate,71,67,34,80,57,76,Defensa
bakayoko,64,74,48,77,68,84,Defensa
Giovanni Di Lorenzo,84,76,66,76,77,79,Defensa
Maouassa,84,75,64,72,71,76,Defensa
Matthias Ginter,62,66,58,86,72,79,Defensa
Balded,91,79,74,30,71,70,Delantero
adama traore.png,96,86,66,38,67,81,Delantero
Cristiano Ronaldo,87,88,93,34,82,75,Delantero
simon,92,79,70,34,66,65,Delantero
Stephan El Shaarawy,87,79,75,46,74,16,Delantero
Victor Osimhen,88,75,80,39,63,81,Delantero
Lorenzo Insigne,87,90,78,36,85,45,Delantero
castillo,92,81,75,43,63,73,Delantero
Josip Ilicic,70,86,86,40,84,67,Delantero
falcao,86,76,79,41,67,69,Delantero
cunha,85,84,78,32,78,69,Delantero
everton,86,85,75,32,73,62,Delantero
immobile,86,81,87,39,67,77,Delantero
avila,81,78,81,44,65,83,Delantero
cavani,66,76,86,51,70,79,Delantero
Aubameyang,89,80,85,35,75,69,Delantero
Joaquin Correa,84,85,75,39,77,69,Delantero
daka,93,76,78,24,59,71,Delantero
benzema,76,87,86,39,81,77,Delantero
podence,90,85,65,33,71,50,Delantero
Andre Silva,74,83,84,45,69,77,Delantero
Dries Mertens,85,88,82,34,79,50,Delantero
rebic,86,81,83,48,75,80,Delantero
Marco Reus,73,85,84,47,84,63,Delantero
aguero,71,87,89,33,75,69,Delantero
Nani,70,85,77,37,81,68,Delantero
Eden Hazard,84,88,80,35,82,63,Delantero
jota,84,85,81,57,73,77,Delantero
rashford,90,84,84,43,79,77,Delantero
martial,87,85,80,35,73,68,Delantero
Puado,83,80,76,45,68,73,Delantero
greenwood,84,79,78,39,73,68,Delantero
Henrikh Mkhitaryan,85,83,88,56,79,74,Delantero
sarr,94,80,70,22,67,67,Delantero
Dembele,93,86,77,36,77,56,Delantero
Mane,91,89,83,44,80,77,Delantero
Mikel Oyarzabal,82,84,82,41,81,63,Delantero
ekambi,85,77,78,25,71,70,Delantero
gonzalo martinez,87,82,72,34,73,62,Delantero
Donyell Malen,90,83,79,30,72,17,Delantero
deulofeu,88,83,73,30,73,64,Delantero
son,88,86,87,43,82,69,Delantero
Erling Haaland,89,80,91,45,65,88,Delantero
paco alcacer,77,81,84,35,69,61,Delantero
Lautaro,84,95,81,48,72,84,Delantero
aspas,82,86,85,35,79,63,Delantero
icardi,69,77,83,36,65,69,Delantero
Bakambu,90,76,80,36,71,77,Delantero
sterling,91,87,82,45,79,66,Delantero
