Name,PACE,DRIBBLING,SHOOTING,DEFENDING,PASSING,PHYSICALITY,Position
adama traore.png,96,86,66,38,67,81,Delantero
Adams,81,73,48,74,70,75,Defensa
Adrien Rabiot,76,80,74,76,76,79,Medio
aguero,71,87,89,33,75,69,Delantero
Akanji,81,74,48,81,67,77,Defensa
Ake,76,71,53,80,70,75,defensa
Alaba,77,80,70,83,81,76,medio
alex moreno,88,77,60,71,71,64,Defensa
alex sandro,81,79,65,78,77,79,Defensa
Alex Telles,83,78,73,77,82,73,medio
Allan,72,82,71,80,77,79,Medio
Anderson Talisca,80,83,83,52,81,75,Delantero
Andre Silva,74,83,84,45,69,77,Delantero
ansu fati,88,79,74,29,68,53,Delantero
Ante Rebic,86,81,83,48,75,80,Delantero
Antoine Griezmann,80,87,84,52,84,72,Delantero
antonio,83,78,76,55,73,83,Delantero
aranguiz,65,77,71,76,80,72,Medio
Arthur,69,88,67,72,84,70,Medio
Arturo Vidal,65,79,79,82,79,82,Medio
aspas,82,86,85,35,79,63,Delantero
Aubameyang,89,80,85,35,75,69,Delantero
Aurier,75,76,63,77,73,78,Medio
avila,81,78,81,44,65,83,Delantero
Axel Witsel,61,79,72,82,81,18,Medio
Bakambu,90,76,80,36,71,77,Delantero
bakayoko,64,74,48,77,68,84,Defensa
Baku,84,81,73,70,73,75,medio
Balded,91,79,74,30,71,70,Delantero
barkley,69,78,73,57,77,72,medio
bellingham,75,80,69,75,73,77,medio
ben yedder,82,87,84,39,77,70,Delantero
benzema,76,87,86,39,81,77,Delantero
berchiche,83,76,68,79,76,82,Defensa
Bonucci,64,72,58,86,69,80,Defensa
Boyata,70,58,29,79,52,83,Defensa
brahim diaz,78,82,69,30,76,50,medio
brandt,73,84,75,48,80,66,Medio
bruma,89,81,71,32,69,61,Delantero
bruno,75,84,86,70,89,77,Medio
buffarini,86,75,60,70,67,82,Medio
cabral,88,80,76,38,73,69,Delantero
calvert-lewin,83,77,77,39,64,82,Delantero
camara,76,75,74,74,73,83,medio
camavinga,72,80,65,75,76,77,Medio
cancelo,85,84,71,80,83,72,Medio
carillo,87,82,75,38,73,70,Delantero
Carvajal,80,80,54,81,78,80,Defensa
castillo,92,81,75,43,63,73,Delantero
cavani,66,76,86,51,70,79,Delantero
chara,91,77,69,56,66,70,Medio
chiesa,91,85,81,48,74,73,Delantero
Christian Pulisic,89,86,70,37,73,59,Delantero
claude-maurice,87,80,73,68,75,68,medio
clinton mata,82,75,61,76,48,80,Defensa
Coutinho,69,88,79,52,80,59,medio
Cristiano Ronaldo,87,88,93,34,82,75,Delantero
cuadrado,90,87,73,76,77,72,medio
cunha,85,84,78,32,78,69,Delantero
D james,95,76,72,46,70,63,medio
daka,93,76,78,24,59,71,Delantero
dani alves,71,78,71,72,78,63,Medio
David Neres,85,85,72,37,73,64,Delantero
David silva,63,87,74,52,87,53,medio
david,85,78,76,25,71,70,Delantero
davies,96,82,67,75,71,75,Defensa
Dayot Upamecano,81,68,43,81,62,81,Defensa
de ligt,73,69,59,84,60,87,Defensa
delort,84,75,82,37,73,85,Delantero
Dembele,93,86,77,36,77,56,Delantero
denayer,83,71,43,81,67,81,Defensa
Denis Zakaria,83,75,64,80,72,84,Defensa
Denzel Dumfries,80,72,61,78,66,19,Defensa
depay,82,84,83,30,82,79,Delantero
deulofeu,88,83,73,30,73,64,Delantero
diallo,74,76,39,78,71,77,Defensa
Diego Carlos,76,68,47,81,63,83,Defensa
digne,79,80,69,80,80,76,medio
Donyell Malen,90,83,79,30,72,17,Delantero
draxler,74,82,76,58,80,66,medio
Dries Mertens,85,88,82,34,79,50,Delantero
Eden Hazard,84,88,80,35,82,63,Delantero
Eder Militao,83,71,50,83,69,82,Defensa
ekambi,85,77,78,25,71,70,Delantero
elvedi,74,68,39,80,63,77,Defensa
Emre Can,78,80,78,84,78,87,medio
