Name,PACE,SHOOTING,DRIBBLING,DEFENDING,PASSING,PHYSICALITY
adama traore.png,96,86,66,38,67,81
Adams,81,73,48,74,70,75
Adrien Rabiot,76,80,74,76,76,79
aguero,71,87,89,33,75,69
Akanji,81,74,48,81,67,77
Ake,76,71,53,80,70,75
Alaba,77,80,70,83,81,76
alex moreno,88,77,60,71,71,64
alex sandro,81,79,65,78,77,79
Alex Telles,83,78,73,77,82,73
Allan,72,82,71,80,77,79
Anderson Talisca,80,83,83,52,81,75
Andre Silva,74,83,84,45,69,77
ansu fati,88,79,74,29,68,53
Ante Rebic,86,81,83,48,75,80
Antoine Griezmann,80,87,84,52,84,72
antonio,83,78,76,55,73,83
aranguiz,65,77,71,76,80,72
Arthur,69,88,67,72,84,70
Arturo Vidal,65,79,79,82,79,82
aspas,82,86,85,35,79,63
Aubameyang,89,80,85,35,75,69
Aurier,75,76,63,77,73,78
avila,81,78,81,44,65,83
Axel Witsel,61,79,72,82,81,18
Bakambu,90,76,80,36,71,77
bakayoko,64,74,48,77,68,84
Baku,84,81,73,70,73,75
Balded,91,79,74,30,71,70
barkley,69,78,73,57,77,72
bellingham,75,80,69,75,73,77
ben yedder,82,87,84,39,77,70
benzema,76,87,86,39,81,77
berchiche,83,76,68,79,76,82
Bonucci,64,72,58,86,69,80
Boyata,70,58,29,79,52,83
brahim diaz,78,82,69,30,76,50
brandt,73,84,75,48,80,66
bruma,89,81,71,32,69,61
bruno,75,84,86,70,89,77
buffarini,86,75,60,70,67,82
cabral,88,80,76,38,73,69
calvert-lewin,83,77,77,39,64,82
camara,76,75,74,74,73,83
camavinga,72,80,65,75,76,77
cancelo,85,84,71,80,83,72
carillo,87,82,75,38,73,70
Carvajal,80,80,54,81,78,80
castillo,92,81,75,43,63,73
cavani,66,76,86,51,70,79
chara,91,77,69,56,66,70
chiesa,91,85,81,48,74,73
Christian Pulisic,89,86,70,37,73,59
claude-maurice,87,80,73,68,75,68
clinton mata,82,75,61,76,48,80
Coutinho,69,88,79,52,80,59
Cristiano Ronaldo,87,88,93,34,82,75
cuadrado,90,87,73,76,77,72
cunha,85,84,78,32,78,69
D james,95,76,72,46,70,63
daka,93,76,78,24,59,71
dani alves,71,78,71,72,78,63
David Neres,85,85,72,37,73,64
David silva,63,87,74,52,87,53
david,85,78,76,25,71,70
davies,96,82,67,75,71,75
Dayot Upamecano,81,68,43,81,62,81
de ligt,73,69,59,84,60,87
delort,84,75,82,37,73,85
Dembele,93,86,77,36,77,56
denayer,83,71,43,81,67,81
